"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 05:17:32 UTC 2023","Wed May 31 05:18:29 UTC 2023","56799","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed May 31 05:26:53 UTC 2023","Wed May 31 05:27:11 UTC 2023","18703","","Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"failed","Wed May 31 05:27:30 UTC 2023","Wed May 31 05:30:16 UTC 2023","166081","","Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed May 31 05:16:07 UTC 2023","Wed May 31 05:16:20 UTC 2023","12833","","Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed May 31 05:16:20 UTC 2023","Wed May 31 05:16:24 UTC 2023","3845","","Company Account","","","","5. Complete Screen and tilts",""
"failed","Wed May 31 04:48:23 UTC 2023","Wed May 31 04:50:53 UTC 2023","150443","","Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed May 31 05:13:50 UTC 2023","Wed May 31 05:14:13 UTC 2023","22346","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed May 31 05:13:48 UTC 2023","Wed May 31 05:13:50 UTC 2023","2499","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed May 31 04:15:51 UTC 2023","Wed May 31 04:15:56 UTC 2023","4524",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed May 31 04:16:09 UTC 2023","Wed May 31 04:16:27 UTC 2023","18048","","Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed May 31 05:12:53 UTC 2023","Wed May 31 05:13:37 UTC 2023","43432","","Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"failed","Wed May 31 04:15:19 UTC 2023","Wed May 31 04:15:48 UTC 2023","29222","","Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed May 31 05:24:52 UTC 2023","Wed May 31 05:24:56 UTC 2023","4289","","Admin Portal - Check details","","","","5. Check Investor Panel",""
"failed","Wed May 31 04:35:51 UTC 2023","Wed May 31 04:38:21 UTC 2023","150378","","Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed May 31 05:17:22 UTC 2023","Wed May 31 05:17:24 UTC 2023","1503","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed May 31 04:36:37 UTC 2023","Wed May 31 04:36:38 UTC 2023","998","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed May 31 04:15:42 UTC 2023","Wed May 31 04:15:51 UTC 2023","8757",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"failed","Wed May 31 04:20:59 UTC 2023","Wed May 31 04:23:30 UTC 2023","150503","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed May 31 04:15:22 UTC 2023","Wed May 31 04:15:41 UTC 2023","19197","","Client Portal - Home","","","","1. Check links",""
"passed","Wed May 31 04:32:27 UTC 2023","Wed May 31 04:33:08 UTC 2023","40606","","Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed May 31 05:16:25 UTC 2023","Wed May 31 05:16:29 UTC 2023","3821","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed May 31 04:16:18 UTC 2023","Wed May 31 04:16:42 UTC 2023","23349","","Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed May 31 05:27:13 UTC 2023","Wed May 31 05:27:18 UTC 2023","5223","","Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed May 31 05:16:29 UTC 2023","Wed May 31 05:17:22 UTC 2023","53470","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Wed May 31 05:24:43 UTC 2023","Wed May 31 05:24:51 UTC 2023","8190","","Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"failed","Wed May 31 05:32:47 UTC 2023","Wed May 31 05:35:17 UTC 2023","150595","","Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"failed","Wed May 31 04:58:25 UTC 2023","Wed May 31 05:00:55 UTC 2023","150417","","Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed May 31 05:16:43 UTC 2023","Wed May 31 05:16:55 UTC 2023","11527","","Company Account","","","","7. Complete In Company Details",""
"passed","Wed May 31 04:33:05 UTC 2023","Wed May 31 04:33:26 UTC 2023","20929","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"skipped","Wed May 31 04:37:49 UTC 2023","Wed May 31 04:37:49 UTC 2023","0","","Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed May 31 04:15:42 UTC 2023","Wed May 31 04:15:50 UTC 2023","8135","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed May 31 05:13:29 UTC 2023","Wed May 31 05:13:48 UTC 2023","18539","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"skipped","Wed May 31 04:37:49 UTC 2023","Wed May 31 04:37:49 UTC 2023","1","","Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Wed May 31 04:37:49 UTC 2023","Wed May 31 04:37:49 UTC 2023","0","","Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed May 31 04:16:24 UTC 2023","Wed May 31 04:16:32 UTC 2023","8325","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
